element=21
l=0 n=21
  2.0378343000000001e+00  1.7043200000000000e-01
  9.8003180000000001e-01  6.9759599999999999e-01
  4.4562540000000000e-01  3.8915000000000000e-01
  1.0641700000000000e-01  2.1895999999999999e-02
  5.2570499999999999e-02 -8.2539999999999992e-03
  2.4356800000000001e-02  0.0000000000000000e+00
l=0 n=21
  5.3091480999999996e+06  0.0000000000000000e+00
  7.9495165000000002e+05 -9.9999999999999995e-07
  1.8090756000000000e+05 -5.0000000000000004e-06
  5.1241932999999997e+04 -1.9000000000000001e-05
  1.6717449000000001e+04 -7.1000000000000005e-05
  6.0352659000000003e+03 -2.2900000000000001e-04
  2.3538571000000002e+03 -6.8300000000000001e-04
  9.7614646000000005e+02 -1.8400000000000001e-03
  4.2543563000000000e+02 -4.5110000000000003e-03
  1.9304677000000001e+02 -9.4850000000000004e-03
  9.0439368999999999e+01 -1.6206999999999999e-02
  4.3020713000000001e+01 -1.5191000000000000e-02
  1.9190555000000000e+01  1.3849999999999999e-02
  9.4257164000000007e+00  8.2358000000000001e-02
  4.6052434000000000e+00  1.1087400000000000e-01
  2.0378343000000001e+00 -5.8296000000000001e-02
  9.8003180000000001e-01 -2.4861500000000000e-01
  4.4562540000000000e-01 -2.7921600000000002e-01
  1.0641700000000000e-01  3.4331299999999998e-01
  5.2570499999999999e-02  6.1491700000000005e-01
  2.4356800000000001e-02  0.0000000000000000e+00
l=0 n=21
  5.3091480999999996e+06 -1.1000000000000000e-05
  7.9495165000000002e+05  8.7000000000000001e-05
  1.8090756000000000e+05 -5.5000000000000002e-05
  5.1241932999999997e+04 -1.5999999999999999e-05
  1.6717449000000001e+04 -1.3300000000000001e-04
  6.0352659000000003e+03 -3.9599999999999998e-04
  2.3538571000000002e+03 -1.2340000000000001e-03
  9.7614646000000005e+02 -3.1340000000000001e-03
  4.2543563000000000e+02 -8.3599999999999994e-03
  1.9304677000000001e+02 -1.5535999999999999e-02
  9.0439368999999999e+01 -3.1895000000000000e-02
  4.3020713000000001e+01 -1.9505000000000002e-02
  1.9190555000000000e+01  5.0340000000000003e-03
  9.4257164000000007e+00  1.9695099999999999e-01
  4.6052434000000000e+00  1.2216200000000001e-01
  2.0378343000000001e+00  4.8323999999999999e-02
  9.8003180000000001e-01 -1.0031570000000001e+00
  4.4562540000000000e-01  2.5696700000000000e-01
  1.0641700000000000e-01  2.0565020000000001e+00
  5.2570499999999999e-02 -1.1902550000000001e+00
  2.4356800000000001e-02  0.0000000000000000e+00
l=0 n=21
  5.3091480999999996e+06  4.6000000000000000e-05
  7.9495165000000002e+05 -2.0000000000000001e-04
  1.8090756000000000e+05  7.6300000000000001e-04
  5.1241932999999997e+04 -2.1410000000000001e-03
  1.6717449000000001e+04  6.1820000000000000e-03
  6.0352659000000003e+03 -5.6600000000000001e-03
  2.3538571000000002e+03  7.2700000000000000e-04
  9.7614646000000005e+02 -6.5599999999999999e-03
  4.2543563000000000e+02 -1.2585000000000001e-02
  1.9304677000000001e+02 -2.4961000000000001e-02
  9.0439368999999999e+01 -5.2817999999999997e-02
  4.3020713000000001e+01 -2.7111000000000000e-02
  1.9190555000000000e+01 -5.0549999999999996e-03
  9.4257164000000007e+00  3.6865100000000001e-01
  4.6052434000000000e+00  1.8031100000000000e-01
  2.0378343000000001e+00 -2.6237000000000000e-02
  9.8003180000000001e-01 -2.3503980000000002e+00
  4.4562540000000000e-01  2.7374740000000002e+00
  1.0641700000000000e-01 -1.4983700000000000e-01
  5.2570499999999999e-02 -2.2160630000000001e+00
  2.4356800000000001e-02  0.0000000000000000e+00
l=0 n=21
  5.3091480999999996e+06  0.0000000000000000e+00
  7.9495165000000002e+05  0.0000000000000000e+00
  1.8090756000000000e+05  0.0000000000000000e+00
  5.1241932999999997e+04  0.0000000000000000e+00
  1.6717449000000001e+04  0.0000000000000000e+00
  6.0352659000000003e+03  0.0000000000000000e+00
  2.3538571000000002e+03  0.0000000000000000e+00
  9.7614646000000005e+02  0.0000000000000000e+00
  4.2543563000000000e+02  0.0000000000000000e+00
  1.9304677000000001e+02  0.0000000000000000e+00
  9.0439368999999999e+01  0.0000000000000000e+00
  4.3020713000000001e+01  0.0000000000000000e+00
  1.9190555000000000e+01  0.0000000000000000e+00
  9.4257164000000007e+00  0.0000000000000000e+00
  4.6052434000000000e+00  0.0000000000000000e+00
  2.0378343000000001e+00  0.0000000000000000e+00
  9.8003180000000001e-01  0.0000000000000000e+00
  4.4562540000000000e-01  0.0000000000000000e+00
  1.0641700000000000e-01  0.0000000000000000e+00
  5.2570499999999999e-02  0.0000000000000000e+00
  2.4356800000000001e-02  1.0000000000000000e+00
l=1 n=16
  7.9998045000000002e+03  8.7999999999999998e-05
  1.8944514999999999e+03  7.7700000000000002e-04
  6.1518748000000005e+02  4.4039999999999999e-03
  2.3492741000000001e+02  1.8664000000000000e-02
  9.9213752999999997e+01  6.2072000000000002e-02
  4.4916139999999999e+01  1.5907700000000000e-01
  2.1249717000000000e+01  2.9697000000000001e-01
  1.0330458000000000e+01  3.6880099999999999e-01
  5.1049799000000000e+00  2.3482600000000001e-01
  2.4406903999999998e+00  4.9355999999999997e-02
  1.1512050000000000e+00  9.9200000000000004e-04
  5.2955560000000002e-01  8.0400000000000003e-04
  2.2119000000000000e-01 -2.2000000000000001e-04
  8.7999999999999995e-02  1.0600000000000000e-04
  3.5000000000000003e-02 -5.1999999999999997e-05
  1.4000000000000000e-02  0.0000000000000000e+00
l=1 n=16
  7.9998045000000002e+03 -2.9000000000000000e-05
